datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2016-12-22 00:00:00,398.0,398.0,14.0,185.0,7200.0,2.0,1.0,1019.5,-1.7,0.0,0.5
2016-12-22 01:00:00,430.0,430.0,17.0,196.0,7800.0,3.0,0.9,1019.0,-1.7,0.0,0.4
2016-12-22 02:00:00,412.0,412.0,17.0,2.0,7700.0,2.0,0.3,1019.1,-1.9,0.0,0.4
2016-12-22 03:00:00,149.0,149.0,22.0,80.0,1900.0,4.0,3.9,1018.8,-7.0,0.0,2.2
2016-12-22 04:00:00,25.0,25.0,13.0,23.0,500.0,19.0,4.5,1018.7,-9.3,0.0,4.6
2016-12-22 05:00:00,11.0,11.0,9.0,14.0,400.0,56.0,4.0,1018.8,-10.1,0.0,5.5
2016-12-22 06:00:00,11.0,11.0,8.0,13.0,400.0,57.0,2.8,1019.2,-11.2,0.0,5.5
2016-12-22 07:00:00,15.0,15.0,7.0,20.0,400.0,50.0,2.3,1019.8,-11.6,0.0,3.8
2016-12-22 08:00:00,15.0,15.0,7.0,30.0,400.0,39.0,2.0,1020.2,-11.9,0.0,3.3
2016-12-22 09:00:00,15.0,15.0,6.0,27.0,400.0,41.0,2.3,1020.3,-12.0,0.0,3.3
2016-12-22 10:00:00,13.0,13.0,6.0,17.0,300.0,52.0,2.8,1020.6,-12.3,0.0,4.3
2016-12-22 11:00:00,8.0,8.0,7.0,16.0,400.0,57.0,3.8,1020.1,-12.2,0.0,4.0
2016-12-22 12:00:00,14.0,14.0,8.0,13.0,400.0,64.0,4.4,1019.1,-12.6,0.0,4.2
2016-12-22 13:00:00,15.0,15.0,6.0,12.0,300.0,67.0,5.1,1018.0,-12.9,0.0,3.8
2016-12-22 14:00:00,14.0,14.0,6.0,11.0,300.0,68.0,5.1,1017.5,-12.9,0.0,5.6
2016-12-22 15:00:00,9.0,9.0,5.0,12.0,200.0,69.0,5.4,1017.4,-12.6,0.0,4.9
2016-12-22 16:00:00,10.0,10.0,4.0,15.0,300.0,66.0,5.3,1017.8,-12.7,0.0,3.3
2016-12-22 17:00:00,7.0,7.0,4.0,17.0,300.0,65.0,4.4,1018.4,-12.6,0.0,3.2
2016-12-22 18:00:00,9.0,9.0,5.0,23.0,400.0,58.0,3.9,1019.3,-12.6,0.0,3.5
2016-12-22 19:00:00,17.0,17.0,8.0,40.0,500.0,41.0,3.0,1020.8,-14.2,0.0,3.0
2016-12-22 20:00:00,11.0,11.0,4.0,16.0,300.0,66.0,2.1,1021.9,-14.6,0.0,3.4
2016-12-22 21:00:00,6.0,6.0,4.0,13.0,200.0,69.0,0.7,1022.7,-14.1,0.0,2.4
2016-12-22 22:00:00,10.0,10.0,3.0,16.0,200.0,64.0,0.2,1023.2,-14.2,0.0,2.4
2016-12-22 23:00:00,10.0,10.0,3.0,19.0,200.0,61.0,-1.3,1024.1,-14.5,0.0,2.7
2016-12-23 00:00:00,13.0,13.0,5.0,43.0,400.0,32.0,-1.8,1024.2,-14.9,0.0,1.7
2016-12-23 01:00:00,20.0,20.0,4.0,39.0,500.0,31.0,-2.8,1024.6,-15.5,0.0,1.5
2016-12-23 02:00:00,18.0,18.0,4.0,40.0,500.0,29.0,-3.6,1024.8,-15.0,0.0,1.2
2016-12-23 03:00:00,18.0,18.0,4.0,32.0,400.0,36.0,-3.7,1025.2,-15.4,0.0,1.8
2016-12-23 04:00:00,18.0,18.0,4.0,33.0,400.0,35.0,-4.1,1025.4,-15.4,0.0,1.4
2016-12-23 05:00:00,17.0,17.0,4.0,33.0,400.0,35.0,-4.0,1025.5,-15.0,0.0,1.4
2016-12-23 06:00:00,17.0,17.0,4.0,32.0,400.0,36.0,-4.4,1026.0,-15.1,0.0,1.7
2016-12-23 07:00:00,16.0,16.0,5.0,44.0,500.0,26.0,-4.5,1026.5,-14.9,0.0,1.3
2016-12-23 08:00:00,17.0,17.0,6.0,54.0,600.0,17.0,-4.5,1027.6,-14.9,0.0,1.1
2016-12-23 09:00:00,19.0,19.0,7.0,55.0,700.0,18.0,-2.2,1028.5,-15.0,0.0,1.3
2016-12-23 10:00:00,18.0,18.0,7.0,45.0,600.0,29.0,-0.8,1028.5,-14.7,0.0,3.4
2016-12-23 11:00:00,20.0,20.0,6.0,32.0,400.0,44.0,0.5,1028.0,-14.7,0.0,2.5
2016-12-23 12:00:00,13.0,13.0,6.0,29.0,400.0,48.0,1.5,1027.1,-14.6,0.0,2.2
2016-12-23 13:00:00,12.0,12.0,6.0,25.0,400.0,53.0,2.9,1026.0,-13.9,0.0,1.3
2016-12-23 14:00:00,18.0,18.0,6.0,29.0,500.0,52.0,4.1,1025.5,-14.2,0.0,0.8
2016-12-23 15:00:00,19.0,19.0,6.0,29.0,500.0,52.0,4.4,1025.3,-13.5,0.0,1.1
2016-12-23 16:00:00,21.0,22.0,6.0,43.0,600.0,40.0,4.6,1025.5,-12.4,0.0,0.9
2016-12-23 17:00:00,24.0,32.0,7.0,73.0,700.0,10.0,2.4,1025.5,-11.9,0.0,1.3
2016-12-23 18:00:00,37.0,57.0,9.0,83.0,1000.0,3.0,1.3,1025.8,-11.8,0.0,1.2
2016-12-23 19:00:00,52.0,71.0,10.0,88.0,1300.0,2.0,-1.0,1026.1,-10.1,0.0,1.2
2016-12-23 20:00:00,73.0,87.0,13.0,91.0,1500.0,2.0,-0.2,1026.2,-10.4,0.0,1.1
2016-12-23 21:00:00,81.0,94.0,12.0,93.0,1600.0,2.0,-0.2,1026.7,-10.4,0.0,1.3
2016-12-23 22:00:00,78.0,78.0,14.0,88.0,1500.0,2.0,0.4,1026.9,-10.2,0.0,1.7
2016-12-23 23:00:00,79.0,79.0,23.0,81.0,1200.0,3.0,1.2,1027.6,-10.3,0.0,2.4
2016-12-24 00:00:00,69.0,69.0,30.0,76.0,1100.0,5.0,0.9,1027.4,-10.0,0.0,1.4
2016-12-24 01:00:00,71.0,71.0,26.0,76.0,1100.0,3.0,-0.7,1027.0,-9.9,0.0,0.8
2016-12-24 02:00:00,76.0,79.0,22.0,2.0,1200.0,2.0,-0.5,1027.0,-9.7,0.0,1.0
2016-12-24 03:00:00,72.0,101.0,21.0,85.0,1800.0,2.0,-1.3,1027.0,-9.7,0.0,1.0
2016-12-24 04:00:00,139.0,182.0,31.0,114.0,4300.0,53.0,-1.9,1026.4,-10.0,0.0,1.0
2016-12-24 05:00:00,161.0,174.0,30.0,98.0,4700.0,7.0,-3.3,1026.3,-9.8,0.0,0.9
2016-12-24 06:00:00,144.0,169.0,28.0,91.0,4200.0,5.0,-3.4,1026.4,-9.9,0.0,1.4
2016-12-24 07:00:00,132.0,145.0,24.0,91.0,4000.0,4.0,-3.7,1026.8,-10.1,0.0,1.1
2016-12-24 08:00:00,119.0,122.0,26.0,86.0,3300.0,3.0,-4.7,1027.0,-9.3,0.0,0.8
2016-12-24 09:00:00,92.0,92.0,24.0,84.0,2800.0,2.0,-3.0,1027.4,-9.7,0.0,1.1
2016-12-24 10:00:00,73.0,89.0,26.0,76.0,2600.0,3.0,-1.1,1027.6,-9.2,0.0,1.1
2016-12-24 11:00:00,82.0,102.0,27.0,84.0,2800.0,4.0,0.1,1027.3,-8.6,0.0,1.6
2016-12-24 12:00:00,116.0,165.0,33.0,107.0,3400.0,5.0,1.6,1026.7,-8.0,0.0,2.0
2016-12-24 13:00:00,152.0,189.0,37.0,118.0,3600.0,5.0,2.9,1025.4,-7.6,0.0,2.3
2016-12-24 14:00:00,166.0,199.0,40.0,128.0,3500.0,5.0,3.8,1024.9,-8.0,0.0,2.2
2016-12-24 15:00:00,172.0,180.0,37.0,123.0,3100.0,4.0,4.0,1024.6,-7.5,0.0,1.1
2016-12-24 16:00:00,153.0,171.0,33.0,114.0,2700.0,3.0,2.3,1024.7,-8.2,0.0,1.5
2016-12-24 17:00:00,145.0,145.0,29.0,109.0,2400.0,2.0,0.7,1025.3,-8.3,0.0,0.8
2016-12-24 18:00:00,140.0,154.0,30.0,113.0,2500.0,2.0,0.7,1025.7,-8.3,0.0,1.5
2016-12-24 19:00:00,152.0,172.0,29.0,118.0,2800.0,2.0,0.1,1025.9,-8.4,0.0,0.9
2016-12-24 20:00:00,172.0,200.0,32.0,134.0,3400.0,3.0,-0.5,1026.2,-8.2,0.0,1.2
2016-12-24 21:00:00,168.0,185.0,28.0,128.0,3400.0,2.0,-2.2,1026.7,-7.7,0.0,0.8
2016-12-24 22:00:00,165.0,182.0,29.0,125.0,3400.0,2.0,-2.7,1027.0,-7.4,0.0,1.1
2016-12-24 23:00:00,180.0,209.0,42.0,128.0,3800.0,3.0,-3.7,1026.9,-7.5,0.0,1.2
2016-12-25 00:00:00,192.0,216.0,42.0,131.0,4000.0,3.0,-3.5,1026.4,-7.8,0.0,1.0
2016-12-25 01:00:00,194.0,207.0,39.0,126.0,4100.0,3.0,-3.2,1025.9,-8.1,0.0,1.4
2016-12-25 02:00:00,200.0,218.0,34.0,120.0,4500.0,4.0,-4.0,1026.3,-7.6,0.0,1.3
2016-12-25 03:00:00,196.0,199.0,32.0,114.0,4500.0,3.0,-3.4,1026.1,-8.1,0.0,1.1
2016-12-25 04:00:00,184.0,184.0,25.0,109.0,3900.0,2.0,-4.6,1025.6,-7.9,0.0,0.9
2016-12-25 05:00:00,164.0,164.0,23.0,103.0,3600.0,2.0,-4.3,1025.4,-7.2,0.0,0.8
2016-12-25 06:00:00,144.0,144.0,20.0,93.0,3100.0,2.0,-3.0,1025.3,-7.0,0.0,1.3
2016-12-25 07:00:00,129.0,146.0,22.0,95.0,3000.0,2.0,-2.7,1025.5,-7.2,0.0,1.0
2016-12-25 08:00:00,155.0,164.0,26.0,106.0,3500.0,2.0,-2.6,1025.8,-7.0,0.0,1.1
2016-12-25 09:00:00,166.0,166.0,33.0,116.0,3400.0,2.0,-1.9,1026.3,-7.0,0.0,1.0
2016-12-25 10:00:00,153.0,153.0,38.0,113.0,3300.0,2.0,-1.1,1026.4,-6.7,0.0,0.6
2016-12-25 11:00:00,148.0,148.0,45.0,110.0,3100.0,2.0,0.0,1026.1,-6.2,0.0,1.1
2016-12-25 12:00:00,144.0,144.0,43.0,106.0,2700.0,3.0,0.7,1025.0,-6.2,0.0,1.2
2016-12-25 13:00:00,130.0,130.0,39.0,98.0,2400.0,5.0,0.8,1024.0,-5.9,0.0,1.5
2016-12-25 14:00:00,128.0,128.0,41.0,96.0,2200.0,6.0,1.2,1023.3,-5.7,0.0,0.7
2016-12-25 15:00:00,133.0,136.0,48.0,105.0,2400.0,4.0,1.4,1022.9,-5.3,0.0,0.8
2016-12-25 16:00:00,149.0,149.0,46.0,108.0,2600.0,3.0,1.5,1023.0,-5.4,0.0,0.9
2016-12-25 17:00:00,144.0,144.0,39.0,110.0,2600.0,2.0,0.7,1023.1,-5.3,0.0,1.2
2016-12-25 18:00:00,142.0,152.0,32.0,111.0,2700.0,2.0,-0.5,1024.0,-5.5,0.0,0.9
2016-12-25 19:00:00,152.0,167.0,31.0,113.0,2900.0,2.0,-0.8,1024.2,-5.0,0.0,0.6
2016-12-25 20:00:00,157.0,168.0,34.0,113.0,2900.0,2.0,-0.5,1024.4,-4.9,0.0,0.8
2016-12-25 21:00:00,165.0,178.0,39.0,114.0,2900.0,2.0,0.4,1024.6,-5.0,0.0,1.0
2016-12-25 22:00:00,173.0,193.0,38.0,113.0,3100.0,2.0,0.5,1025.0,-4.9,0.0,0.3
2016-12-25 23:00:00,173.0,173.0,46.0,109.0,2900.0,2.0,0.9,1025.1,-5.4,0.0,1.0
2016-12-26 00:00:00,175.0,175.0,52.0,110.0,2800.0,2.0,0.7,1025.3,-5.5,0.0,0.6
2016-12-26 01:00:00,159.0,159.0,53.0,108.0,2600.0,2.0,1.1,1025.1,-6.5,0.0,0.9
2016-12-26 02:00:00,172.0,174.0,49.0,2.0,3400.0,2.0,0.7,1025.3,-5.8,0.0,1.3
2016-12-26 03:00:00,170.0,170.0,50.0,111.0,3100.0,2.0,1.1,1025.6,-6.0,0.0,1.3
2016-12-26 04:00:00,143.0,143.0,52.0,100.0,2900.0,6.0,1.1,1025.7,-5.8,0.0,1.1
2016-12-26 05:00:00,87.0,87.0,37.0,66.0,1500.0,3.0,1.7,1025.8,-6.2,0.0,1.0
2016-12-26 06:00:00,25.0,25.0,24.0,40.0,600.0,21.0,2.5,1026.1,-7.7,0.0,1.5
2016-12-26 07:00:00,24.0,24.0,19.0,38.0,500.0,23.0,2.1,1026.3,-7.3,0.0,1.3
2016-12-26 08:00:00,22.0,22.0,19.0,42.0,600.0,29.0,2.0,1027.0,-8.7,0.0,1.4
2016-12-26 09:00:00,26.0,26.0,20.0,56.0,800.0,21.0,2.6,1028.4,-10.7,0.0,1.7
2016-12-26 10:00:00,22.0,38.0,19.0,65.0,1200.0,14.0,3.0,1029.0,-11.4,0.0,2.6
2016-12-26 11:00:00,36.0,36.0,15.0,47.0,800.0,35.0,3.7,1028.8,-14.1,0.0,2.6
2016-12-26 12:00:00,31.0,31.0,10.0,32.0,600.0,51.0,3.5,1028.3,-15.7,0.0,3.9
2016-12-26 13:00:00,25.0,25.0,9.0,21.0,400.0,61.0,3.9,1027.2,-15.4,0.0,3.0
2016-12-26 14:00:00,7.0,7.0,8.0,20.0,400.0,62.0,4.2,1026.3,-16.2,0.0,2.8
2016-12-26 15:00:00,3.0,6.0,8.0,21.0,400.0,61.0,3.6,1026.7,-16.7,0.0,2.6
2016-12-26 16:00:00,12.0,12.0,5.0,29.0,400.0,51.0,3.3,1027.2,-17.6,0.0,1.8
2016-12-26 17:00:00,7.0,7.0,5.0,30.0,400.0,50.0,2.0,1027.6,-18.1,0.0,1.7
2016-12-26 18:00:00,13.0,13.0,5.0,48.0,400.0,32.0,0.6,1028.1,-18.7,0.0,1.1
2016-12-26 19:00:00,13.0,15.0,5.0,45.0,400.0,36.0,0.2,1028.7,-19.6,0.0,1.4
2016-12-26 20:00:00,9.0,9.0,7.0,53.0,500.0,27.0,-1.4,1028.8,-17.2,0.0,0.0
2016-12-26 21:00:00,12.0,13.0,7.0,49.0,500.0,32.0,-2.5,1029.0,-16.2,0.0,1.2
2016-12-26 22:00:00,12.0,14.0,7.0,49.0,500.0,30.0,-2.1,1029.5,-18.6,0.0,0.8
2016-12-26 23:00:00,15.0,18.0,9.0,46.0,500.0,30.0,-1.7,1029.8,-19.7,0.0,1.4
2016-12-27 00:00:00,12.0,12.0,9.0,56.0,600.0,19.0,-2.3,1029.9,-18.8,0.0,1.2
2016-12-27 01:00:00,16.0,23.0,9.0,46.0,600.0,29.0,-3.1,1030.1,-19.5,0.0,1.4
2016-12-27 02:00:00,19.0,19.0,9.0,56.0,700.0,19.0,-3.4,1030.2,-19.8,0.0,0.7
2016-12-27 03:00:00,16.0,16.0,8.0,40.0,600.0,33.0,-4.2,1030.6,-18.1,0.0,1.1
2016-12-27 04:00:00,14.0,14.0,7.0,39.0,500.0,34.0,-3.7,1030.5,-20.0,0.0,1.2
2016-12-27 05:00:00,13.0,19.0,7.0,47.0,600.0,25.0,-3.7,1030.8,-18.8,0.0,0.9
2016-12-27 06:00:00,16.0,41.0,9.0,56.0,800.0,13.0,-2.4,1031.3,-15.8,0.0,1.5
2016-12-27 07:00:00,21.0,31.0,9.0,58.0,700.0,11.0,-4.5,1031.8,-17.7,0.0,1.2
2016-12-27 08:00:00,19.0,34.0,13.0,64.0,900.0,7.0,-3.8,1032.5,-16.1,0.0,1.1
2016-12-27 09:00:00,19.0,30.0,10.0,41.0,600.0,29.0,-1.4,1033.4,-15.3,0.0,1.6
2016-12-27 10:00:00,13.0,27.0,9.0,25.0,400.0,45.0,-0.3,1033.7,-15.8,0.0,3.3
2016-12-27 11:00:00,14.0,14.0,7.0,15.0,300.0,56.0,0.5,1033.1,-15.5,0.0,3.6
2016-12-27 12:00:00,7.0,22.0,5.0,11.0,300.0,61.0,1.5,1032.3,-16.4,0.0,2.7
2016-12-27 13:00:00,9.0,21.0,5.0,12.0,400.0,61.0,2.1,1030.9,-16.4,0.0,3.3
2016-12-27 14:00:00,17.0,23.0,4.0,11.0,300.0,63.0,2.9,1029.7,-16.8,0.0,2.3
2016-12-27 15:00:00,19.0,28.0,3.0,12.0,300.0,64.0,3.1,1029.0,-16.1,0.0,1.6
2016-12-27 16:00:00,16.0,34.0,4.0,15.0,300.0,62.0,2.4,1028.7,-16.7,0.0,1.2
2016-12-27 17:00:00,3.0,67.0,49.0,31.0,2500.0,43.0,0.8,1028.5,-16.1,0.0,1.2
2016-12-27 20:00:00,109.0,144.0,10.0,77.0,1600.0,14.0,-0.2,1028.8,-8.2,0.0,3.7
2016-12-27 21:00:00,107.0,115.0,15.0,73.0,1500.0,18.0,-0.7,1028.9,-8.2,0.0,2.4
2016-12-27 22:00:00,105.0,136.0,10.0,52.0,1300.0,36.0,-1.1,1028.8,-6.9,0.0,3.2
2016-12-27 23:00:00,125.0,125.0,6.0,51.0,1400.0,29.0,-1.1,1028.3,-6.1,0.0,3.3
2016-12-28 00:00:00,137.0,137.0,6.0,62.0,1500.0,16.0,-1.3,1027.9,-5.5,0.0,2.6
2016-12-28 01:00:00,143.0,143.0,6.0,66.0,1500.0,10.0,-1.7,1027.2,-5.6,0.0,2.0
2016-12-28 02:00:00,140.0,140.0,7.0,62.0,1500.0,9.0,-1.9,1026.9,-5.4,0.0,2.5
2016-12-28 03:00:00,155.0,155.0,7.0,69.0,1600.0,3.0,-2.1,1026.9,-5.3,0.0,2.9
2016-12-28 05:00:00,175.0,175.0,7.0,67.0,1800.0,2.0,-2.4,1026.0,-5.2,0.0,1.7
2016-12-28 06:00:00,154.0,154.0,9.0,74.0,2000.0,2.0,-3.5,1026.0,-7.3,0.0,0.5
2016-12-28 07:00:00,120.0,133.0,11.0,78.0,2200.0,2.0,-4.9,1026.8,-8.1,0.0,1.0
2016-12-28 08:00:00,114.0,114.0,10.0,78.0,2100.0,2.0,-4.7,1027.3,-8.0,0.0,0.5
2016-12-28 09:00:00,84.0,84.0,17.0,72.0,1700.0,3.0,-1.4,1027.7,-13.9,0.0,4.0
2016-12-28 10:00:00,36.0,36.0,18.0,43.0,800.0,29.0,0.0,1028.4,-16.0,0.0,3.6
2016-12-28 11:00:00,12.0,45.0,10.0,19.0,400.0,56.0,0.9,1028.8,-16.5,0.0,3.3
2016-12-28 12:00:00,12.0,32.0,8.0,15.0,300.0,62.0,1.3,1028.4,-18.1,0.0,3.8
2016-12-28 13:00:00,9.0,36.0,7.0,14.0,300.0,65.0,1.9,1027.9,-18.2,0.0,5.0
2016-12-28 14:00:00,10.0,36.0,6.0,14.0,200.0,63.0,1.7,1027.9,-18.3,0.0,4.7
2016-12-28 15:00:00,8.0,27.0,6.0,18.0,200.0,60.0,1.5,1028.2,-18.0,0.0,2.8
2016-12-28 16:00:00,12.0,23.0,7.0,21.0,200.0,56.0,1.6,1028.4,-18.4,0.0,3.2
2016-12-28 17:00:00,8.0,35.0,6.0,20.0,200.0,57.0,1.2,1029.0,-18.8,0.0,3.8
2016-12-28 18:00:00,7.0,29.0,3.0,25.0,400.0,53.0,0.8,1030.2,-18.6,0.0,2.6
2016-12-28 19:00:00,8.0,36.0,6.0,39.0,500.0,39.0,0.5,1031.1,-19.9,0.0,3.0
2016-12-28 20:00:00,8.0,27.0,7.0,43.0,400.0,36.0,-0.4,1032.0,-19.1,0.0,2.8
2016-12-28 21:00:00,6.0,8.0,7.0,26.0,300.0,52.0,-1.6,1032.3,-19.1,0.0,1.0
2016-12-28 22:00:00,8.0,10.0,8.0,33.0,300.0,42.0,-1.5,1032.7,-19.0,0.0,1.7
2016-12-28 23:00:00,8.0,21.0,8.0,29.0,300.0,43.0,-1.5,1033.2,-19.0,0.0,1.9
2016-12-29 00:00:00,12.0,16.0,9.0,36.0,300.0,35.0,-2.0,1033.2,-19.0,0.0,1.8
2016-12-29 01:00:00,13.0,25.0,10.0,45.0,400.0,24.0,-2.9,1033.2,-19.3,0.0,1.5
2016-12-29 02:00:00,13.0,18.0,10.0,62.0,400.0,8.0,-3.2,1033.0,-19.2,0.0,1.1
2016-12-29 03:00:00,11.0,22.0,11.0,39.0,200.0,26.0,-3.5,1033.4,-19.9,0.0,1.5
2016-12-29 04:00:00,8.0,8.0,10.0,36.0,400.0,65.0,-4.4,1032.7,-19.0,0.0,0.9
2016-12-29 05:00:00,9.0,12.0,8.0,49.0,300.0,22.0,-3.7,1032.3,-19.2,0.0,2.1
2016-12-29 06:00:00,8.0,15.0,10.0,28.0,400.0,41.0,-4.8,1032.1,-18.6,0.0,1.4
2016-12-29 07:00:00,12.0,23.0,14.0,39.0,500.0,30.0,-3.6,1032.4,-19.9,0.0,2.4
2016-12-29 08:00:00,12.0,34.0,8.0,58.0,500.0,12.0,-5.5,1033.1,-17.9,0.0,1.0
2016-12-29 09:00:00,13.0,13.0,8.0,42.0,500.0,28.0,-2.5,1033.2,-18.1,0.0,1.0
2016-12-29 10:00:00,8.0,8.0,6.0,30.0,400.0,42.0,-0.9,1033.5,-18.5,0.0,1.1
2016-12-29 11:00:00,10.0,13.0,7.0,30.0,500.0,44.0,0.0,1032.7,-18.2,0.0,0.9
2016-12-29 12:00:00,20.0,40.0,10.0,52.0,800.0,29.0,2.3,1031.5,-17.3,0.0,1.1
2016-12-29 13:00:00,36.0,53.0,11.0,50.0,800.0,34.0,2.0,1030.2,-17.5,0.0,2.0
2016-12-29 14:00:00,51.0,74.0,16.0,47.0,800.0,41.0,2.8,1029.6,-15.8,0.0,2.0
2016-12-29 15:00:00,59.0,65.0,16.0,54.0,1000.0,37.0,2.4,1029.0,-16.7,0.0,2.2
2016-12-29 16:00:00,63.0,74.0,15.0,56.0,1000.0,35.0,2.1,1028.7,-16.4,0.0,2.4
2016-12-29 17:00:00,78.0,100.0,13.0,66.0,800.0,24.0,0.9,1028.4,-17.0,0.0,2.1
2016-12-29 18:00:00,63.0,117.0,10.0,68.0,1000.0,21.0,0.6,1028.6,-15.9,0.0,3.1
2016-12-29 19:00:00,81.0,117.0,15.0,70.0,1300.0,23.0,0.2,1028.8,-13.8,0.0,2.6
2016-12-29 20:00:00,116.0,147.0,18.0,80.0,1500.0,13.0,-0.6,1029.0,-11.4,0.0,1.2
2016-12-29 21:00:00,146.0,199.0,20.0,97.0,1800.0,3.0,-0.9,1028.9,-10.6,0.0,1.5
2016-12-29 22:00:00,222.0,251.0,16.0,106.0,2400.0,2.0,-1.4,1028.6,-9.5,0.0,1.2
2016-12-29 23:00:00,254.0,265.0,17.0,105.0,2600.0,2.0,-2.1,1028.4,-7.0,0.0,1.3
2016-12-30 00:00:00,334.0,404.0,20.0,115.0,3300.0,2.0,-2.1,1028.5,-6.5,0.0,1.2
2016-12-30 01:00:00,408.0,421.0,18.0,124.0,3900.0,2.0,-2.9,1028.1,-6.5,0.0,0.9
2016-12-30 02:00:00,371.0,371.0,15.0,118.0,3700.0,2.0,-5.1,1027.8,-7.9,0.0,1.0
2016-12-30 03:00:00,256.0,256.0,25.0,110.0,4100.0,2.0,-6.4,1027.4,-8.8,0.0,0.9
2016-12-30 04:00:00,151.0,157.0,38.0,100.0,4300.0,44.0,-6.3,1027.0,-9.8,0.0,1.9
2016-12-30 05:00:00,139.0,147.0,28.0,89.0,4000.0,4.0,-5.9,1026.2,-10.3,0.0,1.1
2016-12-30 06:00:00,157.0,157.0,22.0,91.0,3800.0,3.0,-7.2,1026.3,-10.4,0.0,1.1
2016-12-30 07:00:00,111.0,120.0,22.0,79.0,3300.0,2.0,-7.3,1026.4,-11.7,0.0,0.7
2016-12-30 08:00:00,103.0,103.0,17.0,76.0,3000.0,2.0,-6.5,1026.9,-12.2,0.0,1.5
2016-12-30 09:00:00,71.0,71.0,17.0,64.0,1500.0,3.0,-5.4,1027.2,-11.3,0.0,1.2
2016-12-30 10:00:00,61.0,61.0,16.0,56.0,1500.0,12.0,-3.8,1027.5,-11.5,0.0,1.5
2016-12-30 11:00:00,75.0,83.0,20.0,63.0,1800.0,13.0,-2.2,1026.8,-11.8,0.0,1.7
2016-12-30 12:00:00,92.0,105.0,23.0,72.0,1800.0,14.0,-0.9,1025.3,-11.9,0.0,0.8
2016-12-30 13:00:00,103.0,103.0,25.0,78.0,1900.0,15.0,-0.1,1024.2,-12.1,0.0,1.0
2016-12-30 14:00:00,103.0,116.0,25.0,84.0,2000.0,14.0,0.5,1023.4,-13.2,0.0,0.7
2016-12-30 15:00:00,108.0,139.0,24.0,95.0,2200.0,11.0,1.3,1023.1,-12.5,0.0,1.4
2016-12-30 16:00:00,154.0,226.0,23.0,129.0,3000.0,5.0,0.9,1023.1,-10.6,0.0,1.2
2016-12-30 17:00:00,167.0,190.0,22.0,133.0,3000.0,2.0,0.1,1022.9,-7.0,0.0,1.3
